geneName	AL3.1	aWL3.2	aWLP.1	aWLP.2	AWP.1	AWP.2	dWL3.1	dWLP.2	EL3.1	ELP.1	EWP.1	fGWP.2	LL3.1	LL3.2	LLP.2	LLP.3	LWP.1	LWP.2	mGL3.1	mGL3.2	mGWP.1	mGWP.3	pWL3.1	pWL3.2	pWL3.3	pWLP.1	pWLP.2	tWL3.1	tWWP.1	vWL3.1	vWL3.3	vWLP.1	vWLP.2	vWWP.1	vWWP.2	WL3.4	WLP.1	WLP.2	WWP.2	WWP.3
FBgn0000003	100.32	698.88	1694.25	4052.4	1266.52	66.79	994.95	2821.66	853.16	395.65	76.88	274.68	61.01	259.37	1292.14	306.59	231.05	113.68	137.25	539.93	794.77	60.76	161.17	152.68	100.84	3978.31	5991.85	213.93	528.17	209.53	282.68	3107.61	2642.39	441.93	408.86	355.83	121.41	221.19	554.57	100.59
FBgn0000008	36.04	27.79	57.25	53.93	39.82	51.2	32.42	77.85	6.54	32.59	3.58	14.68	47.23	44.09	72.14	91.48	30.42	18.33	26.23	29.94	15.2	18.17	29.83	33.85	39.36	67.97	65.66	30.28	18.08	26.39	29.98	66.77	78.19	45.8	58.9	22.7	81.79	61.73	57.49	61.42
FBgn0000014	0.16	0.0	0.02	0.45	0.82	0.38	0.0	0.02	0.0	0.0	0.08	46.75	0.01	0.0	0.0	0.31	0.01	0.01	4.83	11.34	16.92	11.71	0.0	0.0	0.0	0.35	0.15	0.0	0.0	0.0	0.0	2.57	0.25	0.0	0.0	0.0	0.81	0.27	0.0	0.0
FBgn0000015	4.64	1.25	4.65	5.14	1.92	1.65	4.49	4.54	8.33	0.75	10.43	105.84	5.7	4.15	1.08	5.08	3.73	2.15	116.02	158.8	81.3	142.87	1.88	2.01	4.16	4.27	7.12	1.11	1.25	1.93	4.55	4.63	4.35	4.0	5.76	4.9	1.28	2.8	7.03	4.03
FBgn0000017	34.01	21.41	37.77	29.97	58.06	65.11	30.77	32.29	52.08	18.11	90.03	12.7	24.7	18.56	23.79	19.83	28.48	7.3	15.69	15.08	10.46	9.48	26.47	26.7	20.77	23.65	23.21	29.53	14.12	29.79	23.21	34.28	41.51	35.87	32.23	19.87	21.38	19.2	23.68	21.42
FBgn0000018	17.92	11.71	7.58	7.91	14.28	16.53	16.04	6.55	18.24	9.29	11.13	8.16	13.09	13.58	1.67	7.98	11.31	9.03	14.17	9.08	8.18	8.54	17.23	13.98	8.41	5.65	5.63	15.31	8.05	14.43	15.29	7.28	7.31	14.3	13.95	12.69	9.5	7.62	11.25	11.39
FBgn0000022	10.71	31.74	18.17	15.9	1.49	3.42	23.69	8.83	6.61	0.2	12.8	60.36	65.89	49.8	0.0	3.16	32.18	30.25	39.15	46.86	34.69	47.31	16.89	18.1	42.45	10.67	10.83	22.34	9.68	17.18	32.83	12.16	11.68	23.92	21.06	39.14	1.89	7.62	31.79	28.91
FBgn0000024	4.19	0.22	0.76	1.52	12.47	5.11	0.37	2.96	5.74	20.44	19.44	0.12	0.14	0.29	13.73	8.78	0.48	0.05	0.05	0.11	0.25	0.0	0.31	0.24	0.34	2.24	0.41	0.24	0.07	0.14	0.13	2.06	1.55	0.89	0.62	0.1	10.23	8.74	0.23	0.17
FBgn0000028	0.24	0.0	0.64	0.21	4.73	0.47	0.0	0.14	0.0	1.76	0.13	0.0	0.01	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.37	0.0	0.02	0.02	0.01	0.02	0.08	0.0	0.0	0.0	0.0	0.09	0.35	0.0	0.0	0.04	0.22	0.15	0.0	0.0
FBgn0000032	12.28	14.03	9.39	12.94	14.6	15.47	14.42	17.4	17.95	17.49	17.02	15.07	14.18	15.62	20.37	18.79	10.79	7.4	13.22	14.47	15.16	14.79	15.6	12.21	15.73	14.95	11.55	18.68	8.35	14.11	13.12	17.45	18.66	17.54	14.66	13.7	15.6	16.65	15.3	10.43
