geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0000003	3973.11.00	514.26.00	174.48.00	293.43.00	683.04.00	7330.25.00	244.28.00	3661.07.00	106.21.00	510.38.00	591.55.00	378.57.00
FBgn0000008	88.25.00	100.28.00	58.13.00	54.11.00	87.18.00	118.07.00	76.14.00	91.34.00	57.05.00	1115.53.00	171.18.00	32.29.00
FBgn0000014	11755.49.00	4585.04.00	5592.48.00	12273.05.00	8094.08.00	13844.55.00	2663.17.00	14288.59.00	8264.51.00	0	3198.06.00	1854.32.00
FBgn0000015	8919.44.00	3475.28.00	15599.04.00	10258.05.00	11873.33.00	107.04.00	15780.36.00	1886.57.00	2724.33.00	7269.17.00	12126.34.00	4049.54.00
FBgn0000017	1258.04.00	648.39.00	18.33	176.26.00	175.46.00	152.08.00	84.03.00	1232.01.00	1461.14.00	134.51.00	1493.34.00	1412.43.00
FBgn0000018	120.04.00	1574.59.00	23.56	306.45.00	906.19.00	1290.42.00	381.48.00	61.47.00	271.32.00	1480.45.00	999.19.00	106.43.00
FBgn0000022	208.52.00	2282.51.00	92.18.00	162.35.00	1915.48.00	145.36.00	162.28.00	5552.48.00	159.46.00	109.51.00	7464.43.00	183.01.00
FBgn0000024	5623.52.00	156.01.00	42.56.00	195.17.00	182.49.00	76.43.00	9788.36.00	1419.17.00	10646.22.00	1794.12.00	38.46.00	16113.41.00
FBgn0000028	3085.38.00	175.26.00	8730.09.00	2690.22.00	3642.56.00	14428.32.00	0	1894.01.00	2911.45.00	0	10725.07.00	7090.36.00
FBgn0000032	95.37.00	27.59.00	99.25.00	143.33.00	53.49.00	30.06.00	151.24.00	12.31	116.51.00	107.01.00	90.23.00	118.29.00
FBgn0000036	2231.13.00	24.13.00	5532.45.00	3951.23.00	1521.59.00	2745.32.00	0	3525.13.00	2081.34.00	2574.42.00	9966.26.00	12613.37.00
FBgn0000037	6359.32.00	922.33.00	3551.53.00	3933.36.00	8.31	2480.21.00	1869.03.00	3335.13.00	0	0	10725.56.00	3085.54.00
FBgn0000038	14894.07.00	55.21.00	2123.13.00	11119.33.00	112.23.00	7341.09.00	2126.04.00	8431.29.00	0	0	7298.28.00	0
FBgn0000039	11973.21.00	362.55.00	7354.37.00	9688.12.00	102.27.00	6463.57.00	0	2790.17.00	4729.31.00	0	15393.13.00	0
FBgn0000042	1704.34.00	620.19.00	3534.58.00	2309.12.00	1250.11.00	2336.38.00	3001.25.00	290.27.00	2594.18.00	4460.08.00	427.18.00	2503.32.00
FBgn0000043	608.35.00	211.17.00	1261.18.00	698.03.00	185.01.00	885.06.00	922.22.00	46.36.00	1021.39.00	1406.53.00	232.05.00	1058.28.00
FBgn0000044	173.37.00	283.48.00	44.46.00	38.46.00	789.53.00	106.15.00	1084.57.00	407.07.00	161.33.00	21.23	143.35.00	83.41.00
FBgn0000045	12678.23.00	172.27.00	16171.22.00	5578.57.00	15680.06.00	10209.55.00	1243.55.00	8920.42.00	14737.54.00	2337.49.00	269.08.00	7827.23.00
FBgn0000046	1197.58.00	261.08.00	1669.03.00	1587.54.00	552.03.00	448.02.00	1211.58.00	2444.07.00	73.14.00	75.58.00	194.52.00	53.44.00
FBgn0000047	9201.59.00	116.19.00	306.57.00	7335.32.00	436.57.00	4914.24.00	5135.28.00	269.14.00	2950.33.00	4503.43.00	105.47.00	2190.18.00
FBgn0000052	28.58.00	1350.31.00	155.23.00	144.01.00	148.28.00	131.21.00	76.23.00	1259.57.00	105.55.00	166.04.00	64.56.00	28.16.00
FBgn0000053	160.58.00	509.58.00	39.08.00	122.47.00	139.05.00	141.09.00	64.38.00	974.38.00	27.16.00	131.46.00	280.53.00	149.27.00
FBgn0000054	106.06.00	102.47.00	88.18.00	139.28.00	31.32.00	167.44.00	212.41.00	177.25.00	97.47.00	133.11.00	83.48.00	89.26.00
